,LocationID,Borough,Zone,service_zone,Coordinate
0,1,EWR,Newark Airport,EWR,"(-74.17725485035348, 40.68906405)"
1,2,Queens,Jamaica Bay,Boro Zone,"(-73.8354124, 40.6039936)"
2,3,Bronx,Allerton,Boro Zone,"(-87.9364215, 39.9117014)"
3,4,Manhattan,Alphabet City,Yellow Zone,"(-73.9795833, 40.7251022)"
4,5,Staten Island,Arden Heights,Boro Zone,"(-7.496070907755509, 53.28458399237666)"
5,6,Staten Island,Arrochar,Boro Zone,"(-4.7480746, 56.1954653)"
6,7,Queens,Astoria,Boro Zone,"(-73.9302673, 40.7720145)"
7,8,Queens,Astoria Park,Boro Zone,"(-73.92265804019786, 40.7788277)"
8,9,Queens,Auburndale,Boro Zone,"(-81.7888642, 28.0653422)"
9,10,Queens,Baisley Park,Boro Zone,"(-73.78496487588887, 40.67592055)"
10,11,Brooklyn,Bath Beach,Boro Zone,"(-73.99465928932547, 40.5964509)"
11,12,Manhattan,Battery Park,Yellow Zone,"(-74.01577307510607, 40.702786)"
12,13,Manhattan,Battery Park City,Yellow Zone,"(-74.0169369, 40.7110166)"
13,14,Brooklyn,Bay Ridge,Boro Zone,"(-74.0232101, 40.6320062)"
14,15,Queens,Bay Terrace,Boro Zone,"(-74.1341667, 40.5552778)"
15,16,Queens,Bayside,Boro Zone,"(-73.7707449, 40.7631203)"
16,17,Brooklyn,Bedford,Boro Zone,"(-78.5237447, 40.0271453)"
17,18,Bronx,Bedford Park,Boro Zone,"(-87.7770096, 41.7690519)"
18,19,Queens,Bellerose,Boro Zone,"(-73.7164845, 40.7242205)"
19,20,Bronx,Belmont,Boro Zone,"(7.234863, 48.4095949)"
20,21,Brooklyn,Bensonhurst East,Boro Zone,
21,22,Brooklyn,Bensonhurst West,Boro Zone,
22,23,Staten Island,Bloomfield,Boro Zone,"(-92.4143872, 40.7510398)"
23,24,Manhattan,Bloomingdale,Yellow Zone,"(-88.0809036, 41.9575285)"
24,25,Brooklyn,Boerum Hill,Boro Zone,"(-73.98417065807277, 40.68562615)"
25,26,Brooklyn,Borough Park,Boro Zone,"(-73.9968059, 40.633993)"
26,27,Queens,Breezy Point,Boro Zone,"(-94.2169351, 46.6166305)"
27,28,Queens,Briarwood,Boro Zone,"(-85.5930164, 38.2781258)"
28,29,Brooklyn,Brighton Beach,Boro Zone,"(-73.96111022551311, 40.57964365)"
29,30,Queens,Broad Channel,Boro Zone,"(-73.8158007, 40.6080187)"
30,31,Bronx,Bronx Park,Boro Zone,"(-73.87590377196466, 40.8588468)"
31,32,Bronx,Bronxdale,Boro Zone,"(-73.8665241, 40.8506558)"
32,33,Brooklyn,Brooklyn Heights,Boro Zone,"(-73.99502968353846, 40.696084850000005)"
33,34,Brooklyn,Brooklyn Navy Yard,Boro Zone,"(-73.9753359, 40.6997716)"
34,35,Brooklyn,Brownsville,Boro Zone,"(-97.4981698, 25.9024289)"
35,36,Brooklyn,Bushwick North,Boro Zone,"(-73.0254699, 40.7854163)"
36,37,Brooklyn,Bushwick South,Boro Zone,"(-73.92588360783884, 40.6942867)"
37,38,Queens,Cambria Heights,Boro Zone,"(-73.7384653, 40.6945474)"
38,39,Brooklyn,Canarsie,Boro Zone,"(-73.9006921, 40.643715)"
39,40,Brooklyn,Carroll Gardens,Boro Zone,"(-73.9948021, 40.6784201)"
40,41,Manhattan,Central Harlem,Boro Zone,"(-83.19403675174992, 22.921099650000002)"
41,42,Manhattan,Central Harlem North,Boro Zone,
42,43,Manhattan,Central Park,Yellow Zone,"(-73.9653627406542, 40.7827725)"
43,44,Staten Island,Charleston,Boro Zone,"(-79.9399309, 32.7884363)"
44,45,Manhattan,Chinatown,Yellow Zone,"(-73.9962504, 40.7164913)"
45,46,Bronx,City Island,Boro Zone,"(-73.78642953814102, 40.84743325)"
46,47,Bronx,Claremont,Boro Zone,"(-117.7197785, 34.0966764)"
47,48,Manhattan,Clinton East,Yellow Zone,"(-84.1318632, 36.1034126)"
48,49,Brooklyn,Clinton Hill,Boro Zone,"(-73.9652778, 40.6897222)"
49,50,Manhattan,Clinton West,Yellow Zone,"(-81.71073462120103, 41.4878899)"
50,51,Bronx,Co-Op City,Boro Zone,"(-73.8294444, 40.8738889)"
51,52,Brooklyn,Cobble Hill,Boro Zone,"(-73.9973352, 40.687547)"
52,53,Queens,College Point,Boro Zone,"(-73.8459682, 40.7876014)"
53,54,Brooklyn,Columbia Street,Boro Zone,"(-73.99996588638831, 40.69059495711325)"
54,55,Brooklyn,Coney Island,Boro Zone,"(-73.9813318, 40.5756208)"
55,56,Queens,Corona,Boro Zone,"(-117.566444, 33.8752945)"
56,57,Queens,Corona,Boro Zone,"(-117.566444, 33.8752945)"
57,58,Bronx,Country Club,Boro Zone,"(-80.30999085833386, 25.94096615)"
58,59,Bronx,Crotona Park,Boro Zone,"(-73.89239847631723, 40.83881315)"
59,60,Bronx,Crotona Park East,Boro Zone,"(-73.89270121970667, 40.83661645927292)"
60,61,Brooklyn,Crown Heights North,Boro Zone,"(-76.07552491777062, 38.7799655)"
61,62,Brooklyn,Crown Heights South,Boro Zone,"(-1.085613593213088, 51.2673559)"
62,63,Brooklyn,Cypress Hills,Boro Zone,"(-73.8912474, 40.6770477)"
63,64,Queens,Douglaston,Boro Zone,"(-73.7492477, 40.768358)"
64,65,Brooklyn,Downtown Brooklyn,Boro Zone,"(-73.98676437548126, 40.691572050000005)"
65,66,Brooklyn,DUMBO,Boro Zone,"(-73.990118, 40.7029052)"
66,67,Brooklyn,Dyker Heights,Boro Zone,"(-74.0116668, 40.6204716)"
67,68,Manhattan,East Chelsea,Yellow Zone,"(-96.76153777067319, 37.92252635)"
68,69,Bronx,East Concourse,Boro Zone,"(151.00609364901186, -33.818121149999996)"
69,70,Queens,East Elmhurst,Boro Zone,"(-73.8651358, 40.7612123)"
70,71,Brooklyn,East Flatbush,Boro Zone,"(-73.9304151, 40.6537148)"
71,72,Brooklyn,East Flatbush,Boro Zone,"(-73.9304151, 40.6537148)"
72,73,Queens,East Flushing,Boro Zone,"(-73.78430452865169, 40.757536599999995)"
73,74,Manhattan,East Harlem North,Boro Zone,"(-87.8070729, 41.9823426)"
74,75,Manhattan,East Harlem South,Boro Zone,
75,76,Brooklyn,East New York,Boro Zone,"(-73.8823583, 40.6667702)"
76,77,Brooklyn,East New York,Boro Zone,"(-73.8823583, 40.6667702)"
77,78,Bronx,East Tremont,Boro Zone,"(-73.8909693, 40.8453781)"
78,79,Manhattan,East Village,Yellow Zone,"(-73.9873613, 40.7292688)"
79,80,Brooklyn,East Williamsburg,Boro Zone,"(-57.3607052, 6.2595117)"
80,81,Bronx,Eastchester,Boro Zone,"(-73.8064739, 40.9610563)"
81,82,Queens,Elmhurst,Boro Zone,"(-87.9403418, 41.8994745)"
82,83,Queens,Elmhurst,Boro Zone,"(-87.9403418, 41.8994745)"
83,84,Staten Island,Eltingville,Boro Zone,"(-74.1656988, 40.5453831)"
84,85,Brooklyn,Erasmus,Boro Zone,"(4.267078, 50.8152348)"
85,86,Queens,Far Rockaway,Boro Zone,"(-73.7551326, 40.6053825)"
86,87,Manhattan,Financial District North,Yellow Zone,"(-87.90799560312334, 43.037384450000005)"
87,88,Manhattan,Financial District South,Yellow Zone,"(-74.34841, 43.029504)"
88,89,Brooklyn,Flatbush,Boro Zone,"(-73.959027, 40.6520481)"
89,90,Manhattan,Flatiron,Yellow Zone,"(-103.768963, 44.326509)"
90,91,Brooklyn,Flatlands,Boro Zone,"(-73.9348597, 40.6212155)"
91,92,Queens,Flushing,Boro Zone,"(3.5697992, 51.4480929)"
92,93,Queens,Flushing Meadows-Corona Park,Boro Zone,"(-73.84278900425835, 40.740548450000006)"
93,94,Bronx,Fordham South,Boro Zone,"(-84.40322593487328, 39.18223438215352)"
94,95,Queens,Forest Hills,Boro Zone,"(-73.84661252338407, 40.723100900000006)"
95,96,Queens,Forest Park,Boro Zone,"(-87.8136997, 41.8794989)"
96,97,Brooklyn,Fort Greene,Boro Zone,"(-73.9766245, 40.6907711)"
97,98,Queens,Fresh Meadows,Boro Zone,"(-73.7934668, 40.7348246)"
98,99,Staten Island,Freshkills Park,Boro Zone,"(-74.17996182584831, 40.5777439)"
99,100,Manhattan,Garment District,Yellow Zone,"(-118.2565141, 34.0335453)"
100,101,Queens,Glen Oaks,Boro Zone,"(-112.5485052, 34.4430807)"
101,102,Queens,Glendale,Boro Zone,"(-118.2478471, 34.1469416)"
102,103,Manhattan,Governor's Island,Yellow Zone,"(-85.9687356, 32.7550782)"
103,104,Manhattan,Governor's Island,Yellow Zone,"(-85.9687356, 32.7550782)"
104,105,Manhattan,Governor's Island,Yellow Zone,"(-85.9687356, 32.7550782)"
105,106,Brooklyn,Gowanus,Boro Zone,"(-73.9885041, 40.6791695)"
106,107,Manhattan,Gramercy,Yellow Zone,"(-90.6898128, 30.0474239)"
107,108,Brooklyn,Gravesend,Boro Zone,"(0.3694468, 51.4424747)"
108,109,Staten Island,Great Kills,Boro Zone,"(-74.1515318, 40.5542718)"
109,110,Staten Island,Great Kills Park,Boro Zone,"(-74.12614690812788, 40.5436508)"
110,111,Brooklyn,Green-Wood Cemetery,Boro Zone,"(-73.99107685810596, 40.65220295)"
111,112,Brooklyn,Greenpoint,Boro Zone,"(-73.9509714, 40.7237134)"
112,113,Manhattan,Greenwich Village North,Yellow Zone,"(123.749374, 13.1450109)"
113,114,Manhattan,Greenwich Village South,Yellow Zone,"(-74.0028172, 40.7335844)"
114,115,Staten Island,Grymes Hill,Boro Zone,"(-74.0934751, 40.6187152)"
115,116,Manhattan,Hamilton Heights,Boro Zone,"(-73.9500618, 40.8241451)"
116,117,Queens,Hammels,Boro Zone,"(-73.8111511, 40.588822)"
117,118,Staten Island,Heartland Village,Boro Zone,"(-74.1577778, 40.5883333)"
118,119,Bronx,Highbridge,Boro Zone,"(-2.9764141, 51.2200079)"
119,120,Manhattan,Highbridge Park,Boro Zone,"(-73.92990605351383, 40.84595055)"
120,121,Queens,Hillcrest,Boro Zone,"(-117.1609755, 32.7482898)"
121,122,Queens,Hollis,Boro Zone,"(-71.591333, 42.7431621)"
122,123,Brooklyn,Homecrest,Boro Zone,"(-80.0870862, 42.0908831)"
123,124,Queens,Howard Beach,Boro Zone,"(-73.8295605, 40.6610254)"
